id,token_symbol,timestamp,ua_token_amount,odos_usdc_return,profit_amount,profit_percentage,input_usdc_amount
2490260,uAPT,2025-03-17 05:51:56.772801+00,186462000000000000000,986.401563,-13.598437,-1.3598437000,1000.000000
2490267,uAPT,2025-03-17 05:52:16.730487+00,186462000000000000000,986.193972,-13.806028,-1.3806028000,1000.000000
2490276,uAPT,2025-03-17 05:52:33.205792+00,186462000000000000000,986.048202,-13.951798,-1.3951798000,1000.000000
2490295,uAPT,2025-03-17 05:53:16.789449+00,186811000000000000000,988.041023,-11.958977,-1.1958977000,1000.000000
2490310,uAPT,2025-03-17 05:53:56.646615+00,186462000000000000000,986.030214,-13.969786,-1.3969786000,1000.000000
2490326,uAPT,2025-03-17 05:54:37.066348+00,186811000000000000000,987.909886,-12.090114,-1.2090114000,1000.000000
2490350,uAPT,2025-03-17 05:55:36.739182+00,186462000000000000000,986.23963,-13.76037,-1.376037000,1000.000000
2490368,uAPT,2025-03-17 05:56:14.623802+00,186462000000000000000,986.155559,-13.844441,-1.3844441000,1000.000000
2490384,uAPT,2025-03-17 05:56:56.743783+00,186811000000000000000,987.830273,-12.169727,-1.2169727000,1000.000000
2490393,uAPT,2025-03-17 05:57:16.888084+00,186462000000000000000,986.039088,-13.960912,-1.3960912000,1000.000000
2490404,uAPT,2025-03-17 05:57:36.816476+00,186462000000000000000,985.964612,-14.035388,-1.4035388000,1000.000000
2490413,uAPT,2025-03-17 05:57:56.741248+00,186811000000000000000,987.830731,-12.169269,-1.2169269000,1000.000000
2490429,uAPT,2025-03-17 05:58:36.705722+00,186462000000000000000,986.039088,-13.960912,-1.3960912000,1000.000000
2490438,uAPT,2025-03-17 05:58:55.71314+00,186462000000000000000,986.060937,-13.939063,-1.3939063000,1000.000000
2490448,uAPT,2025-03-17 05:59:15.817235+00,186462000000000000000,985.589324,-14.410676,-1.4410676000,1000.000000
2490458,uAPT,2025-03-17 05:59:36.550026+00,186811000000000000000,987.279004,-12.720996,-1.2720996000,1000.000000
2490477,uAPT,2025-03-17 06:00:16.845393+00,186811000000000000000,986.694695,-13.305305,-1.3305305000,1000.000000
2490487,uAPT,2025-03-17 06:00:36.844274+00,186811000000000000000,986.625248,-13.374752,-1.3374752000,1000.000000
2490497,uAPT,2025-03-17 06:00:56.939608+00,186462000000000000000,984.742873,-15.257127,-1.5257127000,1000.000000
2490507,uAPT,2025-03-17 06:01:16.963361+00,186811000000000000000,986.728878,-13.271122,-1.3271122000,1000.000000
2490516,uAPT,2025-03-17 06:01:36.928877+00,186462000000000000000,985.132876,-14.867124,-1.4867124000,1000.000000
2490527,uAPT,2025-03-17 06:01:55.675208+00,186462000000000000000,984.976591,-15.023409,-1.5023409000,1000.000000
2490536,uAPT,2025-03-17 06:02:16.839419+00,186462000000000000000,984.930542,-15.069458,-1.5069458000,1000.000000
2490547,uAPT,2025-03-17 06:02:37.037597+00,186462000000000000000,985.022478,-14.977522,-1.4977522000,1000.000000
2490557,uAPT,2025-03-17 06:02:56.702745+00,186462000000000000000,985.0238,-14.9762,-1.49762000,1000.000000
2490567,uAPT,2025-03-17 06:03:13.116642+00,186462000000000000000,985.188425,-14.811575,-1.4811575000,1000.000000
2490577,uAPT,2025-03-17 06:03:33.272725+00,186462000000000000000,985.469437,-14.530563,-1.4530563000,1000.000000
2490596,uAPT,2025-03-17 06:04:13.515612+00,186113000000000000000,984.217734,-15.782266,-1.5782266000,1000.000000
2490607,uAPT,2025-03-17 06:04:33.568116+00,186113000000000000000,984.562341,-15.437659,-1.5437659000,1000.000000
2490617,uAPT,2025-03-17 06:04:56.83926+00,186113000000000000000,984.581088,-15.418912,-1.5418912000,1000.000000
2490627,uAPT,2025-03-17 06:05:17.797808+00,186113000000000000000,984.636317,-15.363683,-1.5363683000,1000.000000
2490645,uAPT,2025-03-17 06:05:55.556944+00,186113000000000000000,984.494867,-15.505133,-1.5505133000,1000.000000
2490654,uAPT,2025-03-17 06:06:16.748996+00,186113000000000000000,984.816561,-15.183439,-1.5183439000,1000.000000
2490665,uAPT,2025-03-17 06:06:36.976901+00,186113000000000000000,985.067236,-14.932764,-1.4932764000,1000.000000
2490673,uAPT,2025-03-17 06:06:56.643724+00,186113000000000000000,984.818119,-15.181881,-1.5181881000,1000.000000
2490682,uAPT,2025-03-17 06:07:16.792173+00,186113000000000000000,984.760079,-15.239921,-1.5239921000,1000.000000
2490693,uAPT,2025-03-17 06:07:34.024627+00,186462000000000000000,986.622434,-13.377566,-1.3377566000,1000.000000
2490704,uAPT,2025-03-17 06:07:54.763498+00,186462000000000000000,986.518405,-13.481595,-1.3481595000,1000.000000
2490713,uAPT,2025-03-17 06:08:17.722991+00,186462000000000000000,986.383947,-13.616053,-1.3616053000,1000.000000
2490729,uAPT,2025-03-17 06:08:56.713516+00,186462000000000000000,986.872516,-13.127484,-1.3127484000,1000.000000
2490738,uAPT,2025-03-17 06:09:16.816806+00,186462000000000000000,986.851879,-13.148121,-1.3148121000,1000.000000
2490746,uAPT,2025-03-17 06:09:37.013669+00,186462000000000000000,986.917944,-13.082056,-1.3082056000,1000.000000
2490768,uAPT,2025-03-17 06:10:36.605005+00,186462000000000000000,986.846992,-13.153008,-1.3153008000,1000.000000
2490784,uAPT,2025-03-17 06:11:15.49413+00,186462000000000000000,986.50878,-13.49122,-1.349122000,1000.000000
2490795,uAPT,2025-03-17 06:11:36.954555+00,186462000000000000000,986.45703,-13.54297,-1.354297000,1000.000000
2490819,uAPT,2025-03-17 06:12:36.713654+00,186462000000000000000,986.437526,-13.562474,-1.3562474000,1000.000000
2490826,uAPT,2025-03-17 06:12:56.613538+00,186462000000000000000,986.460288,-13.539712,-1.3539712000,1000.000000
